Model,Selling Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Car Condition,current price
250,312165.0,82238.0,2014.0,1,2,1,4.2,1374415.0
320,313799.0,30558.0,2013.0,1,1,1,4.4,1072043.0
172,295999.0,22164.0,2018.0,1,1,1,4.8,1351931.0
226,435199.0,30535.0,2013.0,1,0,1,4.3,840305.0
249,289099.0,15738.0,2013.0,1,1,1,4.3,861879.0
105,410788.0,32496.0,2013.0,1,1,1,4.4,901164.0
78,606599.0,27487.0,2015.0,1,1,1,4.6,1085975.0
187,459199.0,41383.0,2018.0,1,1,1,4.4,1485506.0
249,265899.0,65476.0,2012.0,1,2,1,4.3,1428970.0
232,426999.0,27992.0,2013.0,1,1,1,4.4,854055.0
201,671499.0,14061.0,2018.0,1,1,1,4.8,1036486.0
62,146870.0,52138.0,2007.0,3,1,1,4.0,1059766.0
173,285399.0,47168.0,2016.0,1,2,1,4.2,1142398.0
122,529699.0,72813.0,2013.0,1,2,1,4.2,1233325.0
318,424399.0,79123.0,2015.0,1,0,1,4.3,1423007.0
52,615799.0,72097.0,2016.0,1,1,0,4.4,942060.0
352,413999.0,151201.0,2014.0,1,0,1,4.3,1328230.0
150,328199.0,73356.0,2012.0,1,1,1,4.3,1295780.0
344,948899.0,14516.0,2018.0,1,1,1,4.9,868644.0
162,656399.0,34658.0,2016.0,1,0,1,4.5,1192787.0
302,100599.0,35905.0,2014.0,1,1,1,4.3,1484156.0
274,250399.0,39278.0,2016.0,2,1,1,4.2,1216954.0
174,309999.0,36245.0,2017.0,1,1,1,4.7,1254139.0
86,518099.0,61923.0,2015.0,1,1,1,4.4,762128.0
257,211799.0,39612.0,2010.0,3,1,1,4.2,1329508.0
191,332627.0,58558.0,2015.0,1,1,0,4.3,833757.0
230,477214.0,72553.0,2013.0,1,0,1,4.4,1386282.0
178,669899.0,13931.0,2018.0,1,1,1,4.9,1235635.0
237,447799.0,48780.0,2016.0,2,0,1,4.7,1074984.0
305,318699.0,86339.0,2016.0,1,1,1,4.3,1104708.0
156,840899.0,25376.0,2018.0,1,0,1,4.7,1168338.0
84,667699.0,15683.0,2017.0,1,1,0,4.8,1184696.0
224,210799.0,117838.0,2011.0,1,0,1,4.1,1122504.0
181,573999.0,28083.0,2017.0,1,1,0,4.8,1002902.0
238,315099.0,45714.0,2010.0,2,1,1,4.1,1017232.0
55,319399.0,50615.0,2011.0,1,1,1,4.4,913594.0
168,441699.0,59608.0,2012.0,1,0,1,4.1,913141.0
226,260699.0,141644.0,2012.0,1,1,1,4.2,1307625.0
320,311899.0,105493.0,2013.0,2,0,1,4.4,790703.0
151,363099.0,83767.0,2012.0,1,0,1,4.2,1027512.0
226,341399.0,61365.0,2012.0,2,0,1,4.8,991445.0
19,486599.0,87581.0,2014.0,1,1,1,4.3,1352645.0
226,292399.0,96637.0,2012.0,2,0,1,4.2,1016666.0
142,227299.0,76177.0,2012.0,1,1,1,4.9,1482311.0
47,352699.0,33953.0,2013.0,2,1,1,4.2,1056290.0
57,467199.0,89834.0,2014.0,1,0,1,4.2,818565.0
57,606099.0,83278.0,2014.0,1,0,1,4.6,1140528.0
172,180996.0,49275.0,2013.0,1,1,1,4.2,1160362.0
47,219168.0,62852.0,2012.0,2,1,1,4.1,1425159.0
160,1045899.0,47310.0,2016.0,1,0,1,4.4,1300908.0
172,332699.0,8393.0,2019.0,1,1,1,4.8,755040.0
31,282699.0,188777.0,2010.0,1,1,0,4.2,848282.0
309,671199.0,52544.0,2014.0,2,1,1,4.3,1448361.0
346,407999.0,33913.0,2014.0,1,1,1,4.2,1121932.0
217,240099.0,44432.0,2013.0,2,0,1,4.4,943400.0
174,142999.0,59096.0,2010.0,1,1,1,4.3,1223695.0
126,422699.0,82265.0,2011.0,1,1,1,4.2,1058031.0
103,418699.0,39422.0,2013.0,1,1,1,4.4,877285.0
249,345999.0,60412.0,2012.0,1,1,1,4.2,886731.0
51,313900.0,83050.0,2011.0,1,1,1,4.5,970003.0
111,195800.0,111397.0,2013.0,1,1,1,4.3,952417.0
352,301074.0,71219.0,2012.0,1,0,1,4.3,1133237.0
174,264397.0,30539.0,2015.0,1,1,1,4.5,1440009.0
240,723699.0,35067.0,2018.0,1,0,1,4.8,1379419.0
174,277499.0,64058.0,2012.0,1,1,1,4.2,882456.0
210,385699.0,54397.0,2012.0,1,0,1,4.4,1292462.0
188,347799.0,95945.0,2015.0,1,2,1,4.5,1041091.0
226,315999.0,164127.0,2012.0,1,0,1,4.5,1395843.0
137,160099.0,68478.0,2008.0,1,1,1,4.4,865307.0
93,263199.0,41513.0,2013.0,1,1,1,4.1,936845.0
174,270899.0,70973.0,2011.0,1,1,1,4.3,1081955.0
174,338699.0,27570.0,2018.0,1,1,1,4.8,858749.0
54,420999.0,42481.0,2012.0,2,1,0,4.0,1455460.0
51,410399.0,73247.0,2012.0,3,1,1,4.5,1425353.0
171,367599.0,3710.0,2020.0,1,1,1,4.9,1354455.0
352,255099.0,84630.0,2011.0,1,1,1,4.1,985833.0
180,681999.0,15615.0,2018.0,1,1,1,4.9,820675.0
232,313774.0,15248.0,2011.0,1,1,1,4.6,1077152.0
174,156499.0,45362.0,2012.0,2,1,1,4.2,1308755.0
125,521499.0,41856.0,2013.0,1,0,1,4.4,1190443.0
160,977099.0,43867.0,2016.0,1,0,1,4.7,1107112.0
148,181699.0,68656.0,2009.0,3,1,1,4.0,1199757.0
229,456299.0,173110.0,2013.0,1,2,1,4.2,953716.0
316,235499.0,114409.0,2011.0,1,0,1,4.2,1082598.0
261,348540.0,72949.0,2012.0,1,0,1,4.0,1060514.0
257,222252.0,43196.0,2010.0,2,1,1,4.0,1367328.0
174,305199.0,50294.0,2014.0,1,1,1,4.4,1294330.0
171,236300.0,102742.0,2009.0,1,1,1,4.0,1103193.0
346,283399.0,114877.0,2014.0,1,0,1,4.4,812231.0
